Name,Type,By,Anbefalt av,Besøkt dato,Lokasjon,Hjemmeside,KoblingKalender,🍷 Fått av drikke
Maaemo,Fine Dining,Oslo,,Maaemo,23 Dronning Eufemias gate,,Maaemo (https://www.notion.so/Maaemo-c52c85baede84056ba2393ef1738744d?pvs=21),
Brasserie blanche,Restaurant,Oslo,,,,,,
Norvald vinbar,Vinbar,Stavanger,,Predrink Stavanger,"Øvre Holmegate 3, 4006 Stavanger",,Predrink Stavanger (https://www.notion.so/Predrink-Stavanger-0320d96e25de4449bce5c2a33de44ef7?pvs=21),Testalonga Colombard - I wish I was a ninja (https://www.notion.so/Testalonga-Colombard-I-wish-I-was-a-ninja-3c4265d4002b491192fa27d1ac75ada4?pvs=21)
Abelone,"Casual, Restaurant, Uteservering",Oslo,,,https://abeloneoslo.no/kontakt-oss/,https://abeloneoslo.no/,,
Ahaan,"Afternoon Tea, Restaurant",Oslo,,SommerDate,"Sommerrogata 1, 0255 Oslo",http://ahaan.no/,SommerDate (https://www.notion.so/SommerDate-46ece6b54bb148b28d47a3a56c1eb965?pvs=21),Acham-Magin Forster Pechstein Riesling GG 2020 (https://www.notion.so/Acham-Magin-Forster-Pechstein-Riesling-GG-2020-4ae3abd91bfa46459e458cc9a5ba617a?pvs=21)
Apostrophe,"Japansk, Restaurant",Oslo,,,"Kirkegårdsgata 7A, 0558 Oslo",restaurant-apostrophe.com,,
Arakataka,Restaurant,Oslo,,,"Mariboes gate 7B, 0183 Oslo",arakataka.no,,
Babbos pitstop,"Brunsj, Lunsj",Oslo,,,"Frysjaveien 44A, 0884 Oslo",pitstop.munu.shop,,
Avalon,Restaurant,Oslo,,,"Munkedamsveien 31, 0251 Oslo",avalon-oslo.no,,
Bar Amour,Restaurant,Oslo,,,"Waldemar Thranes gate 70, 0173 Oslo",https://www.baramour.com/,,
Bon Lio,Restaurant,Oslo,,,,https://www.bonlio.no/,,
Brasseri Hansken,Restaurant,Oslo,,,"Christiania Torv 4, 0158 Oslo",brasseriehansken.no,,
Brasseri Quest,Restaurant,Oslo,,,"Elisenbergveien 19, 0265 Oslo",brasserieouest.no,,
Chair,Coctailbar,Oslo,,,"Thorvald Meyers Gate 45, 0555 Oslo, Norway",chairoslo.no,,
Cru,"Restaurant, Vinbar",Oslo,,,"Ingelbrecht Knudssøns gate 1, 0365 Oslo",https://www.cru.no/,,
Dalat café,"Casual, Restaurant",Oslo,,,"Torggata 27, 0183 Oslo",https://www.dalatcafe.no/,,
Dapper,"Brunsj, Casual, Restaurant",Oslo,,,"Operagata 36, 0194 Oslo",https://www.dapperbistro.no/,,
Dr.Kneipps,"Restaurant, Uteservering",Oslo,,,Markveien Mat & Vinhus ASTorvbakkgt 120550 Oslo – Norge,https://www.markveien.no/dr-kneipps/,,
Einer,Restaurant,Oslo,,,"Prinsens gate 18, 0152 Oslo",restauranteiner.no,,
Fat city,Casual,Oslo,,,"Thorvald Meyers gate 30, 0555 Oslo",,,
Fyr bistro,"Restaurant, Uteservering",Oslo,,,"Underhaugsveien 28, 0354 Oslo",fyrbistronomi.no,,
Geita,Restaurant,Oslo,,,"Geitmyrsveien 57, 0455 Oslo",geitarestaurant.no,,
Grezzo,"Italiensk, Restaurant",Oslo,,,"Bernt Ankers gate 37, 0183 Oslo",https://www.grezzo.no/,,
Happolati,Restaurant,Oslo,,,"St. Olavs Plass 2, 0165 Oslo",https://www.happolati.no/,,
Hedone,Restaurant,Oslo,,,"Skovveien 15, 0257 Oslo",hedone.no,,
Hot Shop,Restaurant,Oslo,,,"Københavngata 18, 0566 Oslo",https://www.restauranthotshop.no/,,
Izakaya,"Casual, Japansk",Oslo,,,"St.Olavs Gate 7, 0165 Oslo",https://izakayaoslo.com/,,
J2,Restaurant,Oslo,,,"Pilestredet 63A, 0350 Oslo",j2restaurant.no,,
Jimmis vin og matbar,"Restaurant, Vinbar",Oslo,,,"Leirfallsgata 6, 0550 Oslo",https://www.jimmysoslo.no/,,
Kafeteria august,"Brunsj, Casual, Vinbar",Oslo,,,"Universitetsgata 9, 0164 Oslo",https://kafeteriaaugust.no/,,
